,Year,Player,Pos,Age,Tm,G,TS%,3P%,2P%
17824,2006,Derek Fisher,PG,31,GSW,82,0.536,0.397,0.417
17825,2006,Gerald Fitch,PG,23,MIA,18,0.424,0.269,0.365
17826,2006,Marcus Fizer,PF,27,NOK,3,0.559,1,0.5
17827,2006,Sharrod Ford,PF,24,PHO,3,0.667,,0.667
17828,2006,T.J. Ford,PG,22,MIL,72,0.489,0.337,0.428
17829,2006,Danny Fortson,C,29,SEA,23,0.622,,0.529
17830,2006,Jeff Foster,C,29,IND,63,0.581,0,0.561
17831,2006,Adonal Foyle,C,30,GSW,77,0.524,,0.507
17832,2006,Richie Frahm,SG,28,TOT,33,0.517,0.329,0.533
17833,2006,Richie Frahm,SG,28,MIN,25,0.491,0.313,0.529
17834,2006,Richie Frahm,SG,28,HOU,8,0.565,0.364,0.538
17835,2006,Steve Francis,PG-SG,28,TOT,70,0.534,0.301,0.452
17836,2006,Steve Francis,PG,28,ORL,46,0.532,0.257,0.457
17837,2006,Steve Francis,SG,28,NYK,24,0.542,0.538,0.435
17838,2006,Channing Frye,C,22,NYK,65,0.541,0.333,0.479
17839,2006,Dan Gadzuric,C,27,MIL,74,0.55,0,0.555
17840,2006,Deng Gai,C,23,PHI,2,,,
17841,2006,Reece Gaines,PG,25,MIL,12,0.472,0,0.6
17842,2006,Francisco Garcia,SF,24,SAC,67,0.51,0.285,0.484
17843,2006,Kevin Garnett,PF,29,MIN,76,0.589,0.267,0.532
17844,2006,Pat Garrity,PF,29,ORL,57,0.546,0.388,0.451
17845,2006,Pau Gasol,PF,25,MEM,80,0.555,0.25,0.505
17846,2006,Devean George,SF,28,LAL,71,0.484,0.313,0.453
17847,2006,Eddie Gill,PG,27,IND,41,0.408,0.304,0.136
17848,2006,Manu Ginobili,SG,28,SAS,65,0.593,0.382,0.5
17849,2006,Gordan Giricek,SG,28,UTA,37,0.482,0.305,0.457
17850,2006,Anthony Goldwire,PG,34,LAC,3,0.143,0,0.2
