Year,Player,Age,Tm,G
17860,2006,Brian Grant,33,PHO,21
17861,2006,Devin Green,23,LAL,27
17862,2006,Gerald Green,20,BOS,32
17863,2006,Willie Green,24,PHI,10
17864,2006,Orien Greene,23,BOS,80
17865,2006,Adrian Griffin,31,DAL,52
17866,2006,Eddie Griffin,23,MIN,70
17867,2006,Anthony Grundy,26,ATL,12
17868,2006,Richard Hamilton,27,DET,80
17869,2006,Zendon Hamilton,30,TOT,12
17870,2006,Zendon Hamilton,30,CLE,11
17871,2006,Zendon Hamilton,30,PHI,1
17872,2006,Anfernee Hardaway,34,NYK,4
17873,2006,Matt Harpring,29,UTA,71
17874,2006,Al Harrington,25,ATL,76
17875,2006,Othella Harrington,32,CHI,72
17876,2006,Devin Harris,22,DAL,56
17877,2006,David Harrison,23,IND,67
17878,2006,Jason Hart,27,SAC,66
17879,2006,Udonis Haslem,25,MIA,81
17880,2006,Trenton Hassell,26,MIN,77
17881,2006,Chuck Hayes,22,HOU,40
17882,2006,Jarvis Hayes,24,WAS,21
17883,2006,Brendan Haywood,26,WAS,79
17884,2006,Luther Head,23,HOU,80
17885,2006,Alan Henderson,33,CLE,51
17886,2006,Nene Hilario,23,DEN,1
17887,2006,Grant Hill,33,ORL,21
17888,2006,Kirk Hinrich,25,CHI,81
17889,2006,Julius Hodge,22,DEN,14
17890,2006,Randy Holcomb,26,CHI,4
17891,2006,Robert Horry,35,SAS,63
17892,2006,Eddie House,27,PHO,81
17893,2006,Dwight Howard,20,ORL,82
17894,2006,Josh Howard,25,DAL,59
17895,2006,Juwan Howard,32,HOU,80
17896,2006,Troy Hudson,29,MIN,36
17897,2006,Larry Hughes,27,CLE,36
17898,2006,Kris Humphries,20,UTA,62
17899,2006,Lindsey Hunter,35,DET,30
17900,2006,Steven Hunter,24,PHI,69
17901,2006,Andre Iguodala,22,PHI,82
17902,2006,Zydrunas Ilgauskas,30,CLE,78
17903,2006,Didier Ilunga-Mbenga,25,DAL,43
17904,2006,Allen Iverson*,30,PHI,72
17905,2006,Royal Ivey,24,ATL,73
17906,2006,Jarrett Jack,22,POR,79
17907,2006,Bobby Jackson,32,MEM,71
17908,2006,Jermaine Jackson,29,MIL,30
17909,2006,Jim Jackson,35,TOT,40
17910,2006,Jim Jackson,35,PHO,27
17911,2006,Jim Jackson,35,LAL,13
17912,2006,Luke Jackson,24,CLE,36
17913,2006,Marc Jackson,31,TOT,64
17914,2006,Marc Jackson,31,NJN,37
17915,2006,Marc Jackson,31,NOK,27
17916,2006,Stephen Jackson,27,IND,81
17917,2006,Jerome James,30,NYK,45
17918,2006,LeBron James,21,CLE,79
17919,2006,Mike James,30,TOR,79
17920,2006,Antawn Jamison,29,WAS,82
17921,2006,Marko Jaric,27,MIN,75
17922,2006,Sarunas Jasikevicius,29,IND,75
17923,2006,Al Jefferson,21,BOS,59
17924,2006,Richard Jefferson,25,NJN,78
17925,2006,Jared Jeffries,24,WAS,77
